algo,variant,r_exp,r_size,s_size,payload_width,radix_bits,threads,repeats,ok_runs,status,throughput_mtps,time_ms,vector_total_bytes,extra_space_ratio,raw_csv
PRVJ,PRVJ_best,20,1048576,1073741824,4,18,64,1,1,OK,1075.710374,998.170,5242885,0.00060976,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,21,2097152,1073741824,4,18,64,1,1,OK,1083.680256,990.829,10485765,0.00121832,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,22,4194304,1073741824,4,18,64,1,1,OK,1078.022652,996.029,20971525,0.00243191,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,23,8388608,1073741824,4,18,64,1,1,OK,1078.379936,995.699,41943045,0.00484496,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,24,16777216,1073741824,4,18,64,1,1,OK,1077.051604,996.927,83886085,0.00961539,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,25,33554432,1073741824,4,18,64,1,1,OK,1035.529741,1036.901,167772165,0.01893939,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,26,67108864,1073741824,4,18,64,1,1,OK,1015.828429,1057.011,335544325,0.03676471,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,27,134217728,1073741824,4,18,64,1,1,OK,953.957230,1125.566,671088645,0.06944444,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,28,268435456,1073741824,4,18,64,1,1,OK,842.032235,1275.179,1342177285,0.12500000,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,29,536870912,1073741824,4,18,64,1,1,OK,689.160142,1558.044,2684354565,0.20833333,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,30,1073741824,1073741824,4,18,64,1,1,OK,476.665656,2252.610,5368709125,0.31250000,final-full-main-s2e30.raw.csv
sort-merge,sort-merge,5,32,1073741824,,,32,1,1,OK,9.236553,116249.191,8589934984,1.00000002,final-sortmerge-s2e30-r5-t32.raw.csv
sort-merge,sort-merge,6,64,1073741824,,,64,1,1,OK,8.932268,120209.313,8589935240,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,7,128,1073741824,,,64,1,1,OK,8.672289,123812.967,8589935752,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,8,256,1073741824,,,64,1,1,OK,8.410466,127667.334,8589936776,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,9,512,1073741824,,,64,1,1,OK,8.139037,131924.920,8589938824,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,10,1024,1073741824,,,64,1,1,OK,7.980950,134538.096,8589942920,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,11,2048,1073741824,,,64,1,1,OK,7.762835,138318.261,8589951112,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,12,4096,1073741824,,,64,1,1,OK,7.612597,141048.040,8589967496,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,13,8192,1073741824,,,64,1,1,OK,7.421123,144687.252,8590000264,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,14,16384,1073741824,,,64,1,1,OK,7.296824,147151.949,8590065800,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,15,32768,1073741824,,,64,1,1,OK,7.154289,150083.642,8590196872,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,16,65536,1073741824,,,64,1,1,OK,6.961066,154249.631,8590459016,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,17,131072,1073741824,,,64,1,1,OK,6.813569,157588.753,8590983304,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,18,262144,1073741824,,,64,1,1,OK,6.688511,160535.256,8592031880,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,19,524288,1073741824,,,64,1,1,OK,6.543922,164082.317,8594129032,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,20,1048576,1073741824,,,64,1,1,OK,6.429964,166990.341,8598323336,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,21,2097152,1073741824,,,64,1,1,OK,6.277739,171039.589,8606711944,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,22,4194304,1073741824,,,64,1,1,OK,6.137169,174957.173,8623489160,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,23,8388608,1073741824,,,64,1,1,OK,6.015485,178496.312,8657043592,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,24,16777216,1073741824,,,64,1,1,OK,5.856959,183327.527,8724152456,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,25,33554432,1073741824,,,64,1,1,OK,5.690296,188697.022,8858370184,1.00000002,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,26,67108864,1073741824,,,64,1,1,OK,5.487932,195655.078,9126805640,1.00000001,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,27,134217728,1073741824,,,64,1,1,OK,5.097800,210628.464,9663676552,1.00000001,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,28,268435456,1073741824,,,64,1,1,OK,4.602164,233312.399,10737418376,1.00000001,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,29,536870912,1073741824,,,64,1,1,OK,3.780586,284014.652,12884902024,1.00000001,final-sortmerge-s2e30-r6-r30.raw.csv
sort-merge,sort-merge,30,1073741824,1073741824,,,64,1,1,OK,2.792985,384442.383,17179869320,1.00000001,final-sortmerge-s2e30-r6-r30.raw.csv
